actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
10,173695.06897408966,3,100,300,0.05,64992922.35351425,64819227.284540154,64992814.43445367,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,1,100,100,0.05,75471835.79687138,75298140.72789729,75471727.8778108,False,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,10,300,3000,0.02,92366268.44034173,92192573.37136763,92366160.52128115,False,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,1,50,50,0.002,99507784.88806275,99334089.81908865,99507676.96900217,False,159685898007253.47,8568839115542.794,103.53090971920076,1214874.1307053445,187.94243565966985,10189.533367196667,10189.53390822485
10,173695.06897408966,2,100,200,0.05,104655209.16592927,104481514.09695518,104655101.2468687,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,2,200,400,0.1,145769257.03316042,145595561.96418634,145769149.11409983,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,2,50,100,0.05,328292813.1101269,328119118.04115283,328292705.1910663,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,3,100,300,0.1,335099477.90313137,334925782.8341573,335099369.9840708,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,8,300,2400,0.05,358990332.5299008,358816637.4609267,358990224.6108402,False,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,5,300,1500,0.2,416495684.4354598,416321989.3664857,416495576.5163992,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,3,50,150,0.05,419160493.3675098,418986798.2985357,419160385.4484492,False,16853651450.569666,478707679001.6278,30.37907471066413,1214874.1307053445,187.94243565966985,0.8820973084912845,0.8820973222463355
10,173695.06897408966,1,200,200,0.05,467031005.5438007,466857310.47482663,467030897.6247401,False,175707871059.72705,500527641188.4961,19.800949587636076,1214874.1307053445,187.94243565966985,595.1964799427963,595.1965374916382
10,173695.06897408966,3,200,600,0.2,479145208.2619675,478971513.1929934,479145100.3429069,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,3,300,900,0.2,492935839.58894765,492762144.5199736,492935731.66988707,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,2,100,200,0.1,572656603.2074885,572482908.1385144,572656495.288428,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,2,300,600,0.2,576337040.8360388,576163345.7670647,576336932.9169782,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,1,50,50,0.005,656146498.6321073,655972803.5631331,656146390.7130467,False,159685898007253.47,8568839115542.794,103.53090971920076,1214874.1307053445,187.94243565966985,10189.533367196667,10189.53390822485
10,173695.06897408966,5,200,1000,0.2,818090910.5495275,817917215.4805534,818090802.6304669,False,795521241200.5466,73878714368.14958,9.030150572926726,1214874.1307053445,187.94243565966985,1.6689980790584367,1.6689987192499574
10,173695.06897408966,1,100,100,0.1,977783832.6256136,977610137.5566394,977783724.706553,False,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,2,200,400,0.2,1259259237.8528025,1259085542.7838285,1259259129.933742,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,3,100,300,0.2,1464803452.9504716,1464629757.8814976,1464803345.0314112,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
