outer,inner_cycle,pre_objective,post_objective,post_minus_pre,post_linear_residual_norm,e_rel_to_exact,delta_e_norm,delta_e_raw_norm,e_norm
16,3,6790.129459658511,6933.284306144874,143.15484648636266,293307819.3103113,0.8314620302723272,12.173770981605863,12.173770981605863,3.1103581523239767
16,4,13915.899999956837,17083.221375781937,3167.3213758251004,401726669.521294,0.7548767101695569,18.02053444904968,18.02053444904968,4.79980700789818
16,5,18733.669516526417,19397.25550131308,663.5859847866632,491130870.71836907,0.662025614818506,24.749395257068223,24.749395257068223,5.422864002343314
17,1,2813541.152161201,2639666.956198285,-173874.19596291613,5353942942.243349,3.608623085401117,28.111257102147707,28.111257102147707,28.276698911783196
17,2,107129.04103372096,132820.53675848906,25691.4957247681,1283017044.9823246,3.218670332982924,38.16987938184397,38.16987938184397,23.13401902755378
17,3,41277.98289165797,36812.77130944971,-4465.211582208263,589455840.1975751,2.698950099765666,49.63345068155209,49.63345068155209,17.50277078021116
17,4,104639.0764065696,175312.3538482279,70673.27744165831,1393675852.816877,2.5640832761553134,71.0275257562177,71.0275257562177,16.677338517075686
17,5,281785.00588622584,190228.2407711188,-91556.76511510703,1431885261.842364,2.2466060412197058,98.9135250284298,98.9135250284298,12.932516661602106
18,1,8973.897951523046,10461.928647470571,1488.0306959475256,311900875.68430674,1.2570942400450649,10.26491858829882,10.26491858829882,7.976518091747964
18,2,3549.696287640086,6413.620359736315,2863.9240720962284,279378431.67906874,1.1436603411336834,16.440364587774795,16.440364587774795,7.521804345991586
18,3,17708.947565759965,23173.493265784935,5464.54570002497,492160245.5085424,0.9948776842104234,20.900116717998543,20.900116717998543,4.13645085019905
18,4,8084.690355547745,20069.257981114333,11984.56762556659,484153365.1636853,0.8931506741864289,31.459789642387104,31.459789642387104,7.138665252703852
18,5,42025.029239550546,56412.33143594062,14387.302196390076,777966888.8621573,0.8010479816852071,43.75782069662086,43.75782069662086,5.218817176153479
19,1,31886.035832936715,31699.14271038266,-186.89312255405457,584426237.4498446,1.0627776178998039,3.030523678071325,3.030523678071325,1.9505475990082126
19,2,4231.594761233469,4467.012104517577,235.41734328410803,220127302.82040295,0.971765515716789,4.705937173036318,4.705937173036318,2.098453566308947
19,3,651.4601520319364,745.1245440571568,93.66439202522031,81888758.17875816,0.8633273777989279,5.281961242771425,5.281961242771425,2.89462576728502
19,4,1816.6674068312057,2227.158661759526,410.49125492832013,153376873.8300813,0.7844153389374477,8.40802375783321,8.40802375783321,4.585216363004983
19,5,2987.435122427579,3428.626416579791,441.1912941522123,189143751.53143415,0.6997332948674921,10.929178560743658,10.929178560743658,5.646177150118593
20,1,32603.652129805785,32828.043480135224,224.39135032943886,587159018.8553239,1.0936225822651469,3.2068907281296597,3.2068907281296597,1.6262711445582523
20,2,1077.4412970781814,1112.2417302617637,34.8004331835823,104358344.51950844,0.9988732502605066,4.802023987657867,4.802023987657867,1.0287647669587117
20,3,2231.3253362995697,2232.1307700569378,0.8054337573680641,152481913.36849737,0.8615326059340299,5.295776604924325,5.295776604924325,1.7993748052904872
20,4,1758.481347679625,1871.1629854311643,112.68163775153926,138513778.265965,0.8081732788458602,7.684878463249347,7.684878463249347,2.711021234319258
20,5,3446.1667585725454,3411.8632445712124,-34.30351400133304,190407771.40616998,0.6965815856892206,9.685529693393121,9.685529693393121,3.941078127584871
