outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm,exact_linear_residual_norm
57,0.5,107.91906057412189,1.636278769106422e-05,8.18139384553211e-06,2.9954614609089107e-10
58,0.5,107.91906057418522,1.420242247873404e-05,7.10121123936702e-06,1.027094339515565e-10
59,0.5,107.91906057412727,4.706316057576314e-06,2.353158028788157e-06,1.842907459635158e-11
60,0.5,107.91906057414519,1.9136911636680294e-05,9.568455818340147e-06,9.427845188454278e-11
61,0.5,107.91906057423144,1.3739924281026986e-05,6.869962140513493e-06,7.172549999165436e-11
62,0.5,107.919060574099,7.446253405328019e-06,3.7231267026640095e-06,5.562612428510706e-11
63,0.5,107.919060574115,1.9954140143624982e-05,9.977070071812491e-06,1.6197652853596915e-10
64,0.5,107.91906057411668,3.0125320545990837e-05,1.5062660272995418e-05,3.160481986335804e-10
65,0.5,107.91906057413613,1.006719510784735e-05,5.033597553923675e-06,1.1288262662654118e-10
66,0.5,107.91906057417197,2.1806267112741432e-05,1.0903133556370716e-05,8.410388843060358e-11
67,0.5,107.91906057414317,4.005932320682687e-06,2.0029661603413435e-06,5.454686780505282e-11
68,0.5,107.91906057415632,7.759537626955353e-06,3.8797688134776766e-06,8.519773498353481e-11
69,0.5,107.91906057412058,1.544068796056878e-05,7.72034398028439e-06,1.2644045870564438e-10
70,0.5,107.91906057416661,6.235050782713809e-06,3.1175253913569046e-06,1.003826386338192e-10
71,0.5,107.91906057418518,5.475966729795937e-06,2.7379833648979685e-06,8.668198877686472e-11
72,0.5,107.9190605741357,3.481065081213706e-06,1.740532540606853e-06,6.8032464525593656e-12
73,0.5,107.91906057414656,7.338642700766523e-06,3.6693213503832616e-06,3.708720935812607e-11
74,0.5,107.91906057411975,7.079767636559784e-06,3.539883818279892e-06,9.678386000385944e-11
75,0.5,107.91906057419699,7.3135505082741306e-06,3.6567752541370653e-06,5.947303342679975e-11
76,0.5,107.91906057416254,6.790714449339733e-06,3.3953572246698667e-06,1.0513904841321491e-10
77,0.5,107.91906057417192,6.8514994727713185e-06,3.4257497363856593e-06,3.407187417177984e-11
78,0.5,107.91906057410385,1.1802580858955081e-05,5.901290429477541e-06,1.8217395960577217e-10
79,0.5,107.91906057410684,8.301691481015251e-06,4.150845740507626e-06,8.797882140134948e-11
