outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
61,1,True,0.005945756988718495,4197.0109025877355,4153.318373090151,43.692529497584474,74.95505922632276,0.5829163494575761,19.23070977273821,727.8304024494598,1.2013453209500674e-10
62,1,True,0.0059186414859303225,4153.318373090151,4112.670969950636,40.64740313951461,70.2862397197571,0.5783123880518085,18.82749718919436,725.8243600737043,1.04959073063268e-10
63,1,True,0.005895900807161334,4112.670969950636,4071.0080799097095,41.66289004092687,69.13204489999544,0.6026566999601312,18.75722285317508,704.7136353237686,4.698174829903812e-11
64,1,True,0.005844873570183359,4071.0080799097095,4031.717689783769,39.290390125940576,65.73816433413616,0.5976800618623005,18.48763092242678,702.2071813893941,1.225623768716237e-10
65,1,True,0.005801294005640313,4031.717689783769,3991.4894615552594,40.22822822850958,65.26570199153278,0.616376243585468,18.54821844160304,682.2000505688178,1.126106096328626e-10
66,1,True,0.005728145094249339,3991.4894615552594,3953.1669815632185,38.322479992040826,62.97837208210763,0.6085022321961283,18.42236529356395,679.4496008971225,9.311503763004791e-11
67,1,True,0.005669609502115843,3953.1669815632185,3913.9142585556597,39.25272300755887,63.21850742587051,0.6209055639851396,18.614391997668616,659.946723918947,4.232404531608657e-11
68,1,True,0.0055894450190664795,3913.9142585556597,3876.347174971301,37.5670835843589,61.80589970272046,0.6078235858559201,18.61363594196773,657.2746099575686,5.57518607428705e-11
69,1,True,0.005533391873608075,3876.347174971301,3837.8617476770673,38.48542729423343,62.67945257562383,0.6140038834544719,18.90354371289816,637.757971087188,3.8711066076449566e-11
70,1,True,0.005467801462735993,3837.8617476770673,3801.100322306536,36.76142537053147,61.82481962685685,0.594606269656826,18.972244368579233,635.43272848628,8.171074900889438e-11
71,1,True,0.005430762187560391,3801.100322306536,3763.4349737616203,37.66534854491556,63.17740412915177,0.5961838582021725,19.30182991107529,615.5703919949192,3.083677768942263e-11
72,1,True,0.005392102587752206,3763.4349737616203,3727.697916633115,35.73705712850551,62.56175844174936,0.5712284631797864,19.380306164647163,613.8504076617064,4.223194337774206e-11
73,1,True,0.005376513925209612,3727.697916633115,3690.999994602744,36.69792203037059,64.24596666339134,0.5712097418137505,19.70391343927626,593.6663763573195,1.0058254634242614e-10
74,1,True,0.0053609825827652625,3690.999994602744,3656.4653657800404,34.53462882270378,63.636730681181355,0.5426838942390287,19.763165557188298,592.7157539093984,7.859295632417287e-11
75,1,True,0.005357647347388446,3656.4653657800404,3620.806618429312,35.65874735072839,65.54897591286101,0.5440015935280536,20.06409457984158,572.3775868667525,6.616903750869326e-11
76,1,True,0.005353995864031709,3620.806618429312,3587.511577103091,33.29504132622105,64.81698689506067,0.513677708902545,20.103229307221685,572.2118081185271,6.363285994719426e-11
77,1,True,0.005353886264654056,3587.511577103091,3552.8666954224323,34.64488168065873,66.88773219039166,0.5179556930117512,20.38054235607757,551.863916615506,5.509247342101396e-11
78,1,True,0.0053536383137803255,3552.8666954224323,3520.754489689527,32.112205732905295,65.97623767955349,0.4867238093944405,20.406055490406757,552.4130887600471,8.303199501291758e-11
79,1,True,0.005353738534946323,3520.754489689527,3487.060051232609,33.69443845691785,68.15307979647494,0.4943934824007853,20.65949544929201,532.1432359516155,2.8269645150419064e-11
80,1,True,0.005353746082856332,3487.060051232609,3456.049629207374,31.01042202523513,67.03344968142537,0.4626111616306681,20.672670585550772,533.3103886726569,4.458418669621328e-11
81,1,True,0.005355984668290245,3456.049629207374,3423.2463185068887,32.803310700485326,69.255820237101,0.47365420824100324,20.89534039323604,513.15311976783,5.135280775217074e-11
