experiment,cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact,pre_residual_ratio
fixed_k_2,65,2,0.0009890648790377044,12.476214464255117,12.476214464255078,0.028260674217038494,1.0
fixed_k_2,66,2,0.0007499330708427077,10.743663350307239,10.743663350307504,0.021427931219211563,1.0
fixed_k_2,67,2,0.0009620415829106196,14.391138526500107,14.391138526500084,0.0274885342029414,1.0
fixed_k_2,68,2,0.0010301083942343106,15.1531751908085,15.153175190808415,0.02943341569857196,1.0
fixed_k_2,69,2,0.0007920034149544565,12.285219342792828,12.285219342792889,0.022630012411287405,1.0
fixed_k_2,70,2,0.0007887141411230629,11.541082318449481,11.54108231844951,0.022536027578868696,1.0
fixed_k_2,71,2,0.0008416461150599291,11.361712458306549,11.361712458306556,0.024048459477138903,1.0
fixed_k_2,72,2,0.0006409309051386908,8.671555116214652,8.671555116214725,0.01831339873560996,1.0
fixed_k_2,73,2,0.0005979945337110215,9.016524197316006,9.016524197315908,0.017086572435908467,1.0
fixed_k_2,74,2,0.0007567740290443456,11.6308107278579,11.630810727857924,0.02162339877209028,1.0
fixed_k_2,75,2,0.0007002171305402262,11.18259521595585,11.182595215955738,0.020007391452414345,1.0
fixed_k_2,76,2,0.0006137452628723499,9.316144180294282,9.316144180294462,0.017536619985874698,1.0
fixed_k_2,77,2,0.0006415526006073246,8.524379632197919,8.524379632197764,0.018331162518795924,1.0
fixed_k_2,78,2,0.0005646635181975157,7.471513561718279,7.471513561718333,0.016134201170764032,1.0
fixed_k_2,79,2,0.0005299291545957894,7.796052604514467,7.796052604514443,0.015141731864491597,1.0
fixed_k_2,80,2,0.0006614669644930234,10.084655749868338,10.084655749868338,0.018900178123305387,1.0
fixed_k_2,81,2,0.0006707891411833748,10.817526924098626,10.817526924098592,0.01916654183982735,1.0
fixed_k_2,82,2,0.0006194387774871319,9.869519738931412,9.869519738931498,0.01769930148974886,1.0
fixed_k_2,83,2,0.0006451006441378279,8.841486113204034,8.841486113203985,0.018432541209412415,1.0
fixed_k_2,84,2,0.0005988181256401513,7.849025878487179,7.849025878487267,0.017110105031039033,1.0
fixed_k_2,85,2,0.0005531641278955652,8.506281606112822,8.506281606112678,0.01580562765663666,1.0
fixed_k_2,86,2,0.0006980949234033095,11.238353588535091,11.238353588535311,0.01994675336398594,1.0
fixed_k_2,87,2,0.0007769603142453592,12.760614697220445,12.760614697220234,0.022200184016855244,1.0
fixed_k_2,88,2,0.0007246460931109876,12.2718343337712,12.271834333771341,0.02070540324863141,1.0
fixed_k_2,89,2,0.0007174967982043211,11.232611926217515,11.232611926217364,0.020501125553681093,1.0
fixed_k_2,90,2,0.0007105185084390585,10.108749856868181,10.108749856868403,0.020301734008059732,1.0
fixed_k_2,91,2,0.0006369816463669267,9.759524359286585,9.759524359286345,0.018200556072169576,1.0
fixed_k_2,92,2,0.0007067681965609362,12.04806213953185,12.048062139532076,0.020194575879915626,1.0
fixed_k_2,93,2,0.000853784973718593,14.681489674895005,14.68148967489481,0.024395304599179685,1.0
fixed_k_2,94,2,0.0008773391064230451,15.310170466272545,15.310170466272542,0.025068319773115025,1.0
fixed_k_2,95,2,0.000846093510369397,14.515610806415975,14.515610806416017,0.024175535457851973,1.0
fixed_k_2,96,2,0.0008432936291017478,13.513030091543698,13.513030091543726,0.024095534100275207,1.0
fixed_k_2,97,2,0.0008086105292070821,12.875804920155186,12.875804920154971,0.02310452955958738,1.0
fixed_k_2,98,2,0.0008143870451395954,13.947755587758325,13.947755587758504,0.023269582670039264,1.0
fixed_k_2,99,2,0.0009350876458442289,16.533823325298886,16.53382332529876,0.02671837599593041,1.0
fixed_k_2,100,2,0.0010300461394915472,18.32442699732549,18.324426997325517,0.029431636885631995,1.0
fixed_k_10,0,0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0,1.0
fixed_k_10,1,10,0.0052496027478686315,22.733382603070673,22.733382603070787,0.14999755442331175,1.0
fixed_k_10,2,10,0.014661924380454794,44.46934020796791,44.469340207968244,0.41893699501416964,1.0
fixed_k_10,3,10,0.006865513642516163,63.27767160642819,63.277671606427745,0.19616917806857878,1.0
fixed_k_10,4,10,0.013618347735677369,52.712493961110056,52.71249396111,0.38911874931633383,1.0
fixed_k_10,5,10,0.0018981697070546513,12.305208670529716,12.30520867052985,0.054236639915565966,1.0
fixed_k_10,6,10,0.007440356863181266,13.836935333121223,13.83693533312121,0.21259424514789751,1.0
fixed_k_10,7,10,0.0011191608492520258,10.583095002583503,10.583095002583708,0.031977922607782705,1.0
fixed_k_10,8,10,0.004371553361518765,11.814431683394524,11.814431683394446,0.12490893973609192,1.0
fixed_k_10,9,10,0.006051704526484063,19.56244991359059,19.56244991359091,0.17291610863868653,1.0
fixed_k_10,10,10,0.008511494813207614,31.253581412288387,31.253581412288483,0.24320000346736084,1.0
fixed_k_10,11,10,0.01306080524228338,48.58537371703218,48.58537371703243,0.3731880180720656,1.0
fixed_k_10,12,10,0.019959930001936157,74.35567604638777,74.35567604638733,0.570317570789831,1.0
fixed_k_10,13,10,0.030346898433878205,113.26392311333221,113.26392311333251,0.8671057160043785,1.0
fixed_k_10,14,10,0.046133562868071694,172.2924019862863,172.29240198628614,1.318180048938051,1.0
fixed_k_10,15,10,0.070158148516601,262.00802737910584,262.0080273791059,2.00463753274983,1.0
fixed_k_10,16,10,0.10669425815604983,398.42874016945393,398.4287401694536,3.0485883529013083,1.0
fixed_k_10,17,10,0.16224567890084066,605.8758633357905,605.8758633357908,4.635866030220356,1.0
fixed_k_10,18,10,0.246714170203354,921.3214383423491,921.3214383423489,7.0493947732159254,1.0
fixed_k_10,19,10,0.37515919209408494,1400.9912766049597,1400.99127660496,10.71947041262772,1.0
fixed_k_10,20,10,0.5704770228426553,2130.3869357670346,2130.3869357670346,16.300311164743764,1.0
