cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
2,14,530642622.3807826,306408971.38061875,306406873.5167862,0.5774300036545942,0.5774260502144746,406222.64313324087,3764.141739187535,406114.7240719302,8.58351748875243,5.929560586081017,59785.720746932355,61,244,150,0.8
3,47,306406873.5167862,79904770.00228551,79904987.0213119,0.2607799527640427,0.2607806610347936,2402.915729144663,22.265906504027516,2294.996667834044,11.591551885101332,4.645077845572828,46834.65880567587,61,244,150,0.8
4,198,79904987.0213119,52848089.30393854,52848118.70031102,0.6613866202098642,0.6613869881014511,352.21908044427977,3.2637337293965243,244.30001913366044,16.10866283863783,4.529878137620944,45673.18532301471,61,244,150,0.8
5,155,52848118.70031102,41872872.06605133,41872910.28075916,0.792324742977178,0.7923254660815908,253.85467735860857,2.352269138330886,145.93561604798924,22.17272102412095,3.805695910276135,38371.28721077316,61,244,150,0.8
6,192,41872910.28075916,17479758.770088643,17479798.73179293,0.41744790731970427,0.4174488616766864,130.40011037715317,1.208313978953426,22.481049066533842,31.340899614284908,3.885432888595074,39175.53075393941,61,244,150,0.8
7,198,17479798.73179293,9556895.955014894,9556944.175280573,0.5467394734718795,0.5467422321000777,119.23843567436775,1.1048876280638533,11.319374363748423,43.94682480538161,3.5246216251993885,35537.173780387304,61,244,150,0.8
8,199,9556944.175280573,3571618.274107489,3571663.1803757674,0.3737196962336168,0.3737243950439745,129.32845711443488,1.1983838215771143,21.409395803815556,62.5531900953992,3.6157162278660007,36456.328227391044,61,244,150,0.8
9,229,3571663.1803757674,157949.84869860462,156866.49085904413,0.044223052600941795,0.04391973233112662,190.1590684019902,1.7620526540224677,82.24000709137087,88.41421961166931,4.229130589943087,42640.40965038258,61,244,150,0.8
10,300,156866.49085904413,342209184.19912964,342209256.1932896,2181.531455985901,2181.5319149377115,11170.773468988866,103.51066191019262,11062.854407678245,124.15686607341952,5.3567633146392755,54011.12072677251,61,244,150,0.8
1,300,13.880050685144765,83610462.34063603,83610472.2887104,6023786.529116986,6023787.245834424,756.7045240474157,7.011778271803615,648.7854634732468,0.7806253341021627,0.8254833690526706,92735.65955742144,61,244,200,0.8
