cycle,sweep,cycle_start_residual,current_residual,residual_ratio,outer_sample,ratio_target
3,7,67935906.27325913,30751784719.473064,452.65878393937834,75,1.0
3,8,67935906.27325913,9885083633.886553,145.5060243713494,75,1.0
3,9,67935906.27325913,48616924781.89634,715.6292960359445,75,1.0
3,10,67935906.27325913,15184041555.780684,223.50539484533837,75,1.0
3,11,67935906.27325913,13082734830.156471,192.57467144890484,75,1.0
3,12,67935906.27325913,19149390550.09543,281.8743665988746,75,1.0
3,13,67935906.27325913,2672912925.495827,39.3446274896893,75,1.0
3,14,67935906.27325913,2543128362.663629,37.43423032342255,75,1.0
3,15,67935906.27325913,9250940055.896448,136.17158529815322,75,1.0
3,16,67935906.27325913,8950649911.01042,131.7513874770162,75,1.0
3,17,67935906.27325913,1122277841.433114,16.519656585119613,75,1.0
3,18,67935906.27325913,8834888435.200932,130.04740673752536,75,1.0
3,19,67935906.27325913,3242276922.3712144,47.72552690074934,75,1.0
3,20,67935906.27325913,643041083.6605097,9.46540819039052,75,1.0
3,21,67935906.27325913,45768263.515295394,0.6736976957546036,75,1.0
4,1,45765999.28235842,68736821324.70361,1501.9189442499473,75,1.0
4,2,45765999.28235842,187156429605.7787,4089.4208045386767,75,1.0
4,3,45765999.28235842,319813358617.32764,6988.012140720528,75,1.0
4,4,45765999.28235842,172969552848.726,3779.4335437006657,75,1.0
4,5,45765999.28235842,55913714639.885345,1221.7304443615328,75,1.0
4,6,45765999.28235842,96557780047.00018,2109.8147437200314,75,1.0
4,7,45765999.28235842,50884471846.30353,1111.8400700128084,75,1.0
4,8,45765999.28235842,12976414608.968256,283.53832129631485,75,1.0
4,9,45765999.28235842,67027623115.947044,1464.5724810336308,75,1.0
4,10,45765999.28235842,18131839580.086277,396.1858118342369,75,1.0
4,11,45765999.28235842,13044853358.322569,285.03372728389246,75,1.0
4,12,45765999.28235842,23688167943.471447,517.593154632649,75,1.0
4,13,45765999.28235842,3852035313.8711824,84.1680586958371,75,1.0
4,14,45765999.28235842,5128888931.214669,112.06767057726454,75,1.0
4,15,45765999.28235842,11372042424.307512,248.48233628957672,75,1.0
4,16,45765999.28235842,11705008268.265327,255.7577339467664,75,1.0
4,17,45765999.28235842,1089646979.1147995,23.809094004308772,75,1.0
4,18,45765999.28235842,12583881771.233332,274.96136801461876,75,1.0
4,19,45765999.28235842,3539120964.0012164,77.3307918432244,75,1.0
4,20,45765999.28235842,1154576494.8649218,25.227822247289602,75,1.0
4,21,45765999.28235842,6207735.374025549,0.13564076981529968,75,1.0
5,1,6162233.18698013,99086877135.57817,16079.702622246397,75,1.0
5,2,6162233.18698013,259437150521.21582,42101.157591596406,75,1.0
5,3,6162233.18698013,469024011739.6676,76112.66849340344,75,1.0
5,4,6162233.18698013,229137769090.688,37184.20938286165,75,1.0
5,5,6162233.18698013,95607797111.02084,15515.121581738535,75,1.0
5,6,6162233.18698013,137217935480.84015,22267.566208101467,75,1.0
5,7,6162233.18698013,82627968386.6845,13408.770145418212,75,1.0
5,8,6162233.18698013,18037948829.74015,2927.1772557798718,75,1.0
5,9,6162233.18698013,95970946310.88356,15574.05300949268,75,1.0
5,10,6162233.18698013,22728284640.129654,3688.319469660949,75,1.0
5,11,6162233.18698013,14948145472.492392,2425.7675779091855,75,1.0
5,12,6162233.18698013,31377944731.31236,5091.976200707436,75,1.0
5,13,6162233.18698013,6617190026.03055,1073.8298641491976,75,1.0
5,14,6162233.18698013,8744127115.934717,1418.9867294229857,75,1.0
5,15,6162233.18698013,15311342834.374802,2484.7068213396014,75,1.0
5,16,6162233.18698013,16057422856.852474,2605.7798154700454,75,1.0
5,17,6162233.18698013,1098991894.8806572,178.3431203484252,75,1.0
5,18,6162233.18698013,18819738326.52857,3054.0451416690685,75,1.0
5,19,6162233.18698013,4389229319.513816,712.279004434236,75,1.0
5,20,6162233.18698013,2080577100.0760815,337.63362030376055,75,1.0
5,21,6162233.18698013,263622532.61976278,42.78035650724115,75,1.0
5,22,6162233.18698013,4553871515.402867,738.9969475716225,75,1.0
5,23,6162233.18698013,6684377457.906645,1084.732962074484,75,1.0
5,24,6162233.18698013,4816817836.081126,781.6675691952613,75,1.0
5,25,6162233.18698013,4949448503.377625,803.1907188833853,75,1.0
5,26,6162233.18698013,6747014548.522522,1094.8976359378848,75,1.0
5,27,6162233.18698013,1181312252.4134035,191.70197176396022,75,1.0
5,28,6162233.18698013,3943283807.207065,639.9114878577833,75,1.0
5,29,6162233.18698013,3766230431.81232,611.1794730147177,75,1.0
5,30,6162233.18698013,1416848202.0176473,229.9244704032353,75,1.0
5,31,6162233.18698013,3448262250.4953847,559.5799681487294,75,1.0
5,32,6162233.18698013,1467226806.4394796,238.09985145312396,75,1.0
5,33,6162233.18698013,923341269.522644,149.8387421419762,75,1.0
5,34,6162233.18698013,1253367728.9940746,203.39505029479437,75,1.0
5,35,6162233.18698013,1714606034.596944,278.24426349519655,75,1.0
5,36,6162233.18698013,1120320022.356073,181.80422394971035,75,1.0
5,37,6162233.18698013,2013970555.1097949,326.8247880273358,75,1.0
5,38,6162233.18698013,1540744684.6275022,250.0302468077423,75,1.0
5,39,6162233.18698013,1504886948.6339862,244.21129531637743,75,1.0
