outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
12,200,14,315768786018.06445,365587137174.98267,365587356556.4158,1.1577684475566505,1.157769142310036,30281.256154506722,123921891414.23871,7456769803739.09,1204568186382.4812,1204568156101.225,1204568186274.5623,395389.4784469435,395389.4784469436,14879.419747632002,926.1786510120181
12,200,15,365587356556.4158,674230315875.3939,674230626222.7354,1.844238603397516,1.8442394522981573,30281.256154506722,1204568186382.4812,12474940906330.422,1751896562042.6465,1751896531761.3904,1751896561934.7275,572805.254017322,572805.254017322,20233.048508202843,1258.5147806460518
12,200,16,674230626222.7354,889353699809.7902,889354168291.9497,1.319064523651567,1.3190652184911982,30281.256154506722,1751896562042.6465,29729021410526.746,5579762431300.286,5579762401019.03,5579762431192.367,829525.3316921269,829525.331692127,30402.375072637413,1891.932652221084
12,200,17,889354168291.9497,1547209110123.1216,1547209768503.428,1.7396996216868428,1.7397003619771905,30281.256154506722,5579762431300.286,50402168167709.25,7896613461666.155,7896613431384.899,7896613461558.236,1201195.516281705,1201195.5162817051,43081.12144630241,2680.049964145261
12,200,18,1547209768503.428,2486524548333.4077,2486525556696.4653,1.6071024103852138,1.6071030621152365,30281.256154506722,7896613461666.155,107022367574159.8,20071894602759.594,20071894572478.336,20071894602651.676,1739453.371922907,1739453.3719229072,63049.384766205665,3923.1280415896395
12,200,19,2486525556696.4653,3089495879595.389,3089497260305.081,1.242495123878805,1.2424956791554995,30281.256154506722,20071894602759.594,208952067086106.06,31878328936973.73,31878328906692.473,31878328936865.812,2518724.9021348194,2518724.9021348194,90741.49304988935,5645.345092504673
12,200,20,3089497260305.081,3056178052148.6826,3056180123431.5522,0.9892153300847698,0.9892160005119284,30281.256154506722,31878328936973.73,453015695420222.1,81389711534551.45,81389711504270.2,81389711534443.53,3646701.328038555,3646701.328038555,131823.50228393156,8202.057009762924
12,300,1,570869038.7878886,1017121830400.6312,1017121938539.5824,1781.7078196432924,1781.7080090719421,30281.256154506722,30281.256154506722,741338878949.3586,127542481319.52953,127542451038.27338,127542481211.61046,9555.097860419643,9555.097860419644,9428.19038663277,586.9731952193496
12,300,2,1017121938539.5824,189428683566.2909,189428705990.05563,0.18623989552155262,0.18623991756784214,30281.256154506722,127542481319.52953,10532507787.025127,3764623302.944888,3764593021.6887336,3764623195.0258274,6840.313783632091,6840.313783632092,5621.839464933039,350.7588313741309
12,300,3,189428705990.05563,28818228481.056644,28818228092.858383,0.15213231981096625,0.15213231776165564,30281.256154506722,3764623302.944888,3213223041.3803606,937432014.9031227,937401733.6469681,937431906.9840621,9822.10003978282,9822.100039782816,4082.927315926837,255.0038851284573
12,300,4,28818228092.858383,43328874065.09473,43328873719.99838,1.5035231841971683,1.5035231722222355,30281.256154506722,937432014.9031227,1671326805254.7415,9143425848.03259,9143395566.776436,9143425740.113531,13447.670837315287,13447.670837315285,4694.682041655317,293.07729296925396
