outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
11,1997597532.3378246,True,9.0686489643448,1,65.16487183126058,1413020898.3899884,2.2810279265484387e-07,855104582.3553209,877192310.7965939,1.0258304409741719,0.3051326735731682
12,708621345.0086812,True,3.022882988114933,1,125.43592763650285,693881677.0721538,3.294181369366927e-07,1252470206.2289155,1288976187.3291435,1.0291471852333673,0.6452632056571632
13,25263880.024448548,True,1.0076276627049776,1,132.1659685133208,562984018.2063242,1.3344111325577547e-07,624581790.45492,683357464.9842327,1.0941040475843888,0.9643478421834174
14,1066305.6605156632,True,0.33587588756832587,1,136.37205884564037,224316399.94625178,3.4175772141895186e-08,24235229.5337033,24197574.363932885,0.9984462631262456,0.9577932740543508
15,209990.51802008424,True,0.11195862918944195,1,166.75450770425883,38125543.108538695,1.1330268311758768e-08,862554.952582948,856315.142495579,0.9927658984871819,0.803067238789173
16,84598.83073130372,True,0.03731954306314732,1,217.57560368459582,6311163.047437459,3.9205474225669674e-09,127924.21540820903,125391.68728878052,0.980202902856608,0.5971302345984385
17,45571.1460913067,True,0.012439847687715772,1,258.35085677137465,2045032.15947571,2.6648926041123105e-09,40287.068945702646,39027.68463999702,0.9687397386143188,0.4613265254688182
18,30809.78849544125,True,0.004146615895905257,1,283.39298296603545,470668.04739014746,2.6250237564862867e-10,15588.784154097366,14761.357595865447,0.9469216745800899,0.3239189456918524
19,25853.169795006033,True,0.00414660794571441,1,303.2850310921168,78250.82387099435,9.040921423907001e-10,9791.596003167642,4956.618700435218,0.5062115204540425,0.16087805020695356
20,17984.0419613765,True,0.001388053902814667,1,178.02748652914352,81142.19515366781,4.985777359843136e-10,8402.862190402364,7869.127833629533,0.9364818386070337,0.30437767964335205
21,15508.773804011587,True,0.0013811283325112435,1,251.6668909377321,18023.035926779383,2.400655997085111e-09,4228.059150428051,2475.2681573649133,0.5854383936691888,0.13763692070341765
22,14490.367471658476,True,0.0015063428383512163,1,156.83842827854124,21059.138623466282,1.2233809819905282e-09,3698.1516245409375,1018.4063323531118,0.27538252504169014,0.06566646372066404
23,11511.724363785339,True,0.0012798556899431789,1,144.6253780471998,25464.002138371532,6.270470635137113e-10,3889.205545959079,2978.6431078731366,0.7658744369960017,0.20556021879355554
24,11243.317991666478,True,0.0017409276903411475,1,164.4543071835603,20686.388560244028,2.040088087317909e-09,1860.995257052418,268.4063721188613,0.14422732734095367,0.023315913727333434
25,11196.525083138351,True,0.006484472353761273,2,114.35373844314391,25173.663843693692,2.8295441545083816e-10,1943.1490387546207,46.792908528126645,0.024080967334403017,0.004161841598966555
26,10383.389928136317,True,0.006503636176395379,1,81.18327914184465,4613.760544155369,2.548414161119294e-10,1898.752063486827,813.1351550020336,0.42824714750213877,0.07262388544340351
27,10006.981851436056,True,0.006741586497979924,1,66.4679052590813,2313.0652788233356,3.499408303359965e-10,1126.934097111849,376.4080767002615,0.3340107266830731,0.036250981548934455
28,9681.00653198237,True,0.006812233351906609,1,57.81659999855107,2240.4209281604653,1.5053497027260273e-10,834.5840975544833,325.9753194536861,0.3905841489298276,0.03257478871183392
29,9461.062677712525,True,0.0069324689923083195,1,49.73962909507809,2131.3038728967126,2.2073883541036964e-10,594.7355394416072,219.94385426984445,0.36981791011908943,0.0227191102023569
30,9260.744341850917,True,0.006946900235946137,1,44.6148166492404,2064.845589896347,3.0889171484550313e-10,459.27961781184763,200.31833586160792,0.43615768715360675,0.021172921339322578
31,9093.9762206684,True,0.006947366302610166,1,38.426203224916044,1992.8382191278404,1.8114024558174825e-10,347.6630555596973,166.76812118251655,0.47968318323049647,0.01800806879300861
32,8951.369165408949,True,0.006945935933721836,1,35.066904392548956,1943.4056413970793,2.694243579538599e-10,269.31164652461524,142.60705525945195,0.529524278284109,0.015681485391982962
33,8818.96228213613,True,0.006875677124471928,1,30.133725171862512,1897.9982797345222,2.706738745615823e-10,217.72669476332368,132.40688327281896,0.6081334372744222,0.014791802329467424
34,8702.688779160584,True,0.00665240386282934,1,27.7594797080822,1854.189149809812,2.5943781196969773e-10,176.30065621863656,116.27350297554585,0.6595182653849628,0.013184488067385414
35,8587.951475426336,True,0.0059314907977915075,1,24.496435403465455,1822.801032972808,1.5280593441455398e-10,155.39040287809848,114.73730373424769,0.7383808884533071,0.013184121211940507
36,8472.389347156584,True,0.004798592581365771,1,24.41186301447666,1817.8371245702183,1.0996717672457764e-10,146.66233727584205,115.56212826975207,0.7879468609067861,0.013456308946367812
37,8336.668449915605,True,0.0033033271455272374,1,25.84186933389378,1919.2206585336694,2.1940299203615152e-10,161.7693215589396,135.72089724097896,0.8389779714290879,0.016019199741632295
38,8158.522483634891,True,0.0021581181983502873,1,32.894947744861376,2223.524117915702,4.247160260132457e-10,209.2761183531856,178.14596628071467,0.8512484256806884,0.02136896379542575
39,7903.576610089534,True,0.0013757276984318436,1,44.86909872629609,3218.9503822179213,4.6224400689338013e-10,297.6525136758314,254.94587354535633,0.8565218227016682,0.031249025060205455
40,7569.027080294409,True,0.0011398954514233426,1,66.16217200825612,5513.314780037297,8.54422903920661e-10,430.14828892033046,334.54952979512564,0.7777539476789339,0.04232887796242109
41,7221.774026371339,True,0.001109758327928808,1,80.88349306547747,10378.714524230953,9.120829903710472e-10,535.0974777646246,347.2530539230702,0.6489528886843636,0.04587816244271691
42,7102.829391072944,True,0.0013757349819110089,1,96.05570476341536,12311.269443214487,3.9377759120465345e-10,627.9449535006926,118.94463529839413,0.1894188887661201,0.016470279305895036
43,7046.813901319692,True,0.002288335444900685,1,97.7278326039997,10789.896096728056,9.03648059592686e-10,876.1420614101669,56.01548975325204,0.06393425475212784,0.007886362837836714
44,6908.7586554930795,True,0.006102728217961638,2,68.09018109853545,6298.5385202236275,1.3326541508024778e-10,900.6649709260046,138.05524582661292,0.15328146456575698,0.019591158182956786
45,6591.905541086494,True,0.00611729289596193,1,46.062248302530605,1217.88537879858,5.354481203075349e-11,731.4555003252334,316.8531144065855,0.43318166896783245,0.045862524688810635
